Piccola posta, regia di Steno (1955)
Agguato sul mare, regia di Pino Mercanti (1955)
Montecarlo, regia di Sam Taylor (1956)
Guardia, guardia scelta, brigadiere e maresciallo, regia di Mauro Bolognini (1956)
La trovatella di Pompei, regia di Giacomo Gentilomo (1957)
Vivendo cantando... che male ti fò?, regia di Marino Girolami (1957)
Primo applauso, regia di Pino Mercanti (1957)
Non cantare... baciami!, regia di Giorgio Simonelli (1957)
Il conte Max, regia di Giorgio Bianchi (1957)
Il cocco di mamma, regia di Mauro Morassi (1957)
Arrivederci Roma, regia di Roy Rowland (1958)
Anna di Brooklyn, regia di Reginald Denham e Carlo Lastricati (1958)
Via col... paravento, regia di Mario Costa (1958)
3 straniere a Roma, regia di Claudio Gora (1958)
Totò nella luna, regia di Steno (1958)
Avventura a Capri, regia di Giuseppe Lipartiti (1958)
Poveri milionari, regia di Dino Risi (1958)
Il terribile Teodoro, regia di Roberto Bianchi Montero (1959)
Le donne ci tengono assai, regia di Tony Amendola (1959)
Uomini e nobiluomini, regia di Giorgio Bianchi (1959)
Non perdiamo la testa, regia di Mario Mattoli (1959)
Le notti di Lucrezia Borgia, regia di Sergio Grieco (1959)
Ciao, ciao bambina! (Piove), regia di Sergio Grieco (1959)
Spavaldi e innamorati, regia di Giuseppe Vari (1959)
Psicanalista per signora, regia di Jean Boyer (1959)
Il mondo dei miracoli, regia di Luigi Capuano (1959)
Quel tesoro di papà, regia di Marino Girolami (1959)
Caccia al marito, regia di Marino Girolami (1960)
La baia di Napoli (It started in Naples), regia di Melville Shavelson (1960)
Tu che ne dici?, regia di Silvio Amadio (1960)
Sanremo - La grande sfida, regia di Piero Vivarelli (1960)
La regina delle Amazzoni, regia di Vittorio Sala (1960)
La donna di ghiaccio, regia di Antonio Racioppi (1960)
Robin Hood e i pirati, regia di Giorgio Simonelli (1960)
Le ambiziose, regia di Tony Amendola (1960)
Gli scontenti, regia di Giuseppe Lipartiti (1961)
Le meraviglie di Aladino, regia di Henry Levin (1961)
La rivolta dei mercenari, regia di Piero Costa (1961)
La vendetta della maschera di ferro, regia di Francesco De Feo e Henri Decoin (1961)
Don Camillo monsignore... ma non troppo, regia di Carmine Gallone (1961)
Il pozzo delle tre verità (Le Puits aux trois vérités), regia di François Villiers (1961)
Barabba, regia di Richard Fleischer (1961)
Le pillole di Ercole, regia di Luciano Salce (1962)
Peccati d'estate, regia di Giorgio Bianchi (1962)
L'ombra di Zorro (Cabalgando hacia la muerte), regia di Joaquín Luis Romero Marchent (1962)
Follie d'estate, regia di Edoardo Anton e Carlo Infascelli (1963)
Il generale, episodio di Amori pericolosi, regia di Alfredo Giannetti (1964)
Se permettete parliamo di donne, regia di Ettore Scola (1964)
I tre sergenti del Bengala, regia di Umberto Lenzi (1964)
Il compagno don Camillo, regia di Luigi Comencini (1965)
Veneri in collegio, regia di Marino Girolami (1966)
Scusi, lei è favorevole o contrario?, regia di Alberto Sordi (1966)
L'arcidiavolo, regia di Ettore Scola (1966)
Testa di rapa, regia di Giancarlo Zagni (1966)
I due crociati, regia di Giuseppe Orlandini (1968)
Il medico della mutua, regia di Luigi Zampa (1968)
Catherine, un solo impossibile amore (Catherine - Il suffit d'un amour), regia di Bernard Borderie (1969)
Nell'anno del Signore, regia di Luigi Magni (1969)
Le calde notti di Poppea, regia di Guido Malatesta (1969)
Il segreto di Santa Vittoria (The Secret of Santa Vittoria), regia di Stanley Kramer (1969)
Il prof. dott. Guido Tersilli primario della clinica Villa Celeste convenzionata con le mutue, regia di Luciano Salce (1969)
Don Camillo e i giovani d'oggi - film incompiuto, regia di Christian-Jaque (1970)
Beato fra le donne (L'homme-orchestre), regia di Serge Korber (1970)
Morte a Venezia, regia di Luchino Visconti (1971)
Riuscirà l'avvocato Franco Benenato a sconfiggere il suo acerrimo nemico il pretore Ciccio De Ingras?, regia di Mino Guerrini (1971)
Meo Patacca, regia di Marcello Ciorciolini (1972)
Lo scopone scientifico, regia di Luigi Comencini (1972)
Maria Rosa la guardona, regia di Marino Girolami (1973)
Blue Jeans, regia di Mario Imperoli (1975)
Baby Sitter - Un maledetto pasticcio (Jeune fille libre le soir), regia di René Clément (1975)
Cuginetta... amore mio!, regia di Bruno Mattei (1976)
Mister Miliardo (Mr. Billion), regia di Jonathan Kaplan (1977)
La presidentessa, regia di Luciano Salce (1977)
Squadra antitruffa, regia di Bruno Corbucci (1977)
Assassinio sul Tevere, regia di Bruno Corbucci (1979)
Scusi lei è normale?, regia di Umberto Lenzi (1979)

